DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERME MUNICIPAL,HA ARBRADES,HA NO ARBRADES,HA NO FORESTALS,HA FORESTALS
27/06/2021,11,Baix Llobregat,081574,Pallejà,54,0,0,54
27/06/2021,13,Barcelonès,080193,Barcelona,0,3,0,3
28/06/2021,40,Vallès Occidental,081878,Sabadell,0,3,0,3
28/06/2021,20,Gironès,170209,Bescanó,52,0,0,52
29/06/2021,04,Alt Urgell,250447,Bassella,0,0,0,0
29/06/2021,33,Segrià,250387,Aitona,50,491,0,541
30/06/2021,18,Garrigues,250674,Castelldans,0,1,0,1
30/06/2021,41,Vallès Oriental,082482,Santa Eulàlia de Ronçana,0,0,0,0
30/06/2021,36,Tarragonès,430509,Creixell,0,7,0,7
01/07/2021,40,Vallès Occidental,082665,Cerdanyola del Vallès,0,0,185,1
01/07/2021,11,Baix Llobregat,082080,Sant Esteve Sesrovires,384,500,1496,884
01/07/2021,04,Alt Urgell,259084,Fígols i Alinyà,28,0,0,28
02/07/2021,24,Osona,080673,Centelles,100,10,0,110
02/07/2021,06,Anoia,080364,Calonge de Segarra,41,0,375,41
02/07/2021,03,Alt Penedès,081688,Pontons,0,0,0,0
03/07/2021,12,Baix Penedès,430022,Albinyana,230,10,0,240
04/07/2021,40,Vallès Occidental,081878,Sabadell,0,24,0,24
05/07/2021,02,Alt Empordà,171352,Pont de Molins,0,18,0,18
05/07/2021,18,Garrigues,252555,Vinaixa,5,0,0,5
05/07/2021,20,Gironès,170890,Llagostera,3,0,0,3
06/07/2021,16,Conca de Barberà,430862,Montblanc,1,0,33,1
06/07/2021,41,Vallès Oriental,082021,Sant Celoni,0,0,0,0
07/07/2021,02,Alt Empordà,171387,Portbou,0,4,0,4
08/07/2021,11,Baix Llobregat,089058,"Palma de Cervelló, la",0,0,0,0
08/07/2021,02,Alt Empordà,170160,Bàscara,0,88,0,88
08/07/2021,04,Alt Urgell,251497,Oliana,0,0,1,0
08/07/2021,34,Selva,171463,Riells i Viabrea,0,0,0,0
08/07/2021,14,Berguedà,081304,Montclar,30,0,50,30
09/07/2021,13,Barcelonès,080193,Barcelona,16,0,0,16
10/07/2021,41,Vallès Oriental,080333,Caldes de Montbui,3,0,0,3
10/07/2021,20,Gironès,170792,Girona,48,118,9,166
